name,calories,fiber,carbohydrates,cups
100% Bran,70,10,5,0.33
100% Natural Bran,120,2,8,1.00
All-Bran,70,9,5,0.33
All-Bran with Extra Fiber,50,14,8,0.50
Almond Delight,110,1,14,0.75
Apple Cinnamon Cheerios,110,1,10,0.75
Apple Jacks,110,1,11,1.00
Basic 4,130,2,18,1.00
Bran Chex,90,4,15,1.00
Bran Flakes,90,5,13,0.75
Cap'n Crunch,120,0,12,0.75
Cheerios,110,2,17,1.25
Cinnamon Toast Crunch,120,0,13,0.75
Clusters,110,2,13,0.50
Cocoa Krispies,120,0,14,0.75
Cocoa Pebbles,110,0,12,0.75
Cocoa Puffs,110,0,12,1.00
Corn Chex,110,0,22,1.00
Corn Flakes,100,1,21,1.00
Corn Pops,110,1,13,1.00
Count Chocula,110,0,12,1.00
Cracklin' Oat Bran,110,4,10,0.50
Cream of Wheat,100,0,21,1.00
Crispix,110,0,21,1.00
Crispy Wheat & Raisins,100,2,11,0.75
Double Chex,100,1,18,0.75
Froot Loops,110,1,11,1.00
Frosted Flakes,110,1,14,0.75
Frosted Mini-Wheats,100,3,14,0.50
Fruit & Fibre Dates,120,5,12,1.25
Fruitful Bran,120,5,14,1.33
Fruity Pebbles,110,0,13,0.75
Golden Crisp,100,0,11,0.88
Golden Grahams,110,0,15,0.75
Grape Nuts Flakes,100,3,15,0.88
Grape-Nuts,110,3,17,0.25
Great Grains Pecan,120,3,15,0.66
Honey Graham Ohs,120,1,12,0.75
Honey Nut Cheerios,110,1,11,0.75
Honey-comb,110,0,14,1.33
Just Right Crunchy Nuggets,110,1,17,1.00
Just Right Fruit & Nut,140,2,20,1.30
Kix,110,0,21,1.50
Life,100,2,12,0.66
Lucky Charms,110,0,12,1.00
Maypo,100,0,16,1.00
Muesli Raisins & Almonds,150,3,16,1.00
Muesli Raisins Dates & Almonds,150,3,16,1.00
Mueslix Crispy Blend,160,3,17,0.66
Multi-Grain Cheerios,100,2,15,1.00
Nut&Honey Crunch,120,1,15,0.66
Nutri-Grain Almond-Raisin,140,3,21,1.33
Nutri-grain Wheat,90,2,18,1.00
Oatmeal Raisin Crisp,130,1,13,1.25
Post Nat. Raisin Bran,120,6,11,1.25
Product 19,100,1,20,1.00
Puffed Rice,50,0,13,1.00
Puffed Wheat,50,1,10,1.00
Quaker Oat Squares,100,2,14,0.50
Quaker Oatmeal,100,2,18,0.66
Raisin Bran,120,5,14,1.00
Raisin Nut Bran,100,2,10,0.50
Raisin Squares,90,2,15,0.50
Rice Chex,110,0,23,1.25
Rice Krispies,110,0,22,1.00
Shredded Wheat,80,3,16,0.83
Shredded Wheat 'n'Bran,90,4,19,1.00
Shredded Wheat spoon size,90,3,20,1.00
Smacks,110,1,9,0.75
Special K,110,1,16,1.00
Strawberry Fruit Wheats,90,2,15,1.00
Total Corn Flakes,110,0,21,1.00
Total Raisin Bran,140,4,15,1.50
Total Whole Grain,100,3,16,1.00
Triples,110,0,21,0.75
Trix,110,0,13,1.00
